id,pergunta,gpt-4.1-ft,gpt-4.1-mini-ft
11,Tem como não arrancar a planta para fazer o controle do cancro europeu?,"Sim, essa é uma opção viável, desde que o cancro ainda esteja restrito aos ramos e tenha sido identificado na fase jovem. Nessa situação, a planta poderá ser recuperada por meio da sistemática de poda rigorosa.","Sim. Plantas fortemente atacadas pelo cancro da haste ou por bactérias podem ser continuamente reintegradas ao pomar, desde que haja controle químico das doenças e deleção das plantas em escalas de tempo de anos (de 2 em 2 ou 3 em 3 anos)."
12,O que está sendo estudado para um controle mais pleno do Cancro Europeu?,"Os pesquisadores têm dado ênfase ao uso de material livre de cancro europeu, para formação de mudas, na indicação de cultivares e portaenxertos de resistência genética e também resistências induzidas por algum composto químico ou procedimento cultural. Medidas culturais, de fácil aplicação e baixo custo, são ações recomendadas. Para isso, a capacitação de viveiristas e fruticultores de macieira é importante e fundamental. Sem a capacitação para o reconhecimento dos sintomas do cancro europeu, toda a cadeia produtiva da macieira estará comprometida.","Está sendo estudado o uso de cultivares resistentes na grande, pois a resistência é multigênica e herdeira do lado da planta e do patógeno. Estuda-se também o uso de microrganismos para impedir a penetração do fungo causador do cancro, mas, no momento, o único método com eficácia comprovada é o aparecimento de cultivares resistentes."
13,Como reduzir as podridões carpelar e calicinar na cultura da macieira?,"Uma das causas das podridões carpelar e calicinar é a entrada dos patógenos por meio das estruturas florais. Apesar da possibilidade de ocorrência em todas as cultivares, existe diferença no grau de suscetibilidade em virtude da idade das estruturas florais na época de floração. Culturas com floração mais prolongada apresentam maior risco, pois as frutas não florescidas são mais suscetíveis. Cultivares com sépalas fechadas ou persistentemente fechadas também apresentam menor risco de podridões em comparação àquelas de sépalas abertas ou persistentemente abertas.","A podridão carpelar é reduzida com o uso de cultivares resistentes e com regimes de pulverizações fungicidas nas condições em que estes inoculos estiverem presentes. A podridão calicinar pode ser minimizada evitando com que os frutos colhidos apresentem ferimentos, mantendo morras e plantas livres de infestação por Cacopsylla spp., utilizando fungicidas comerciais no tratamento de embriões e empregando o mercado interno como destino dos frutos armazenados."
14,Quais são os principais distúrbios fisiológicos que afetam maçãs durante o armazenamento e como preveni-los?,"Os distúrbios fisiológicos que mais afetam a qualidade dos frutos durante o armazenamento são o escurecimento da polpa, a polpa farinhenta, a polpa esponjosa e o aparecimento de coração aquoso. De maneira geral, o distúrbio fisiológico da maçã ocorre em função da maturação inadequada no momento da colheita e/ou do manuseio inadequado dos frutos, sendo a prevenção o melhor método para evitar a ocorrência desses distúrbios. Além do distúrbio propriamente dito, cada cultivar possui uma suscetibilidade diferenciada, nesse sentido a experiência e o acompanhamento dos lotes por meio de análises químicas possibilitarão a tomada de decisões mais assertivas.","Os principais distúrbios são: podridão-amarga, escaldadura, senescência-lenticelar, ranço-de-semente, bitter pit e dessoramento. Para prevenir, recomenda-se manter alta sanidade dos frutos na colheita, garantir a maturação ótima no momento da colheita, evitar lesões mecânicas nos frutos, promover rápida e adequada refrigeração pós-colheita e armazenar os frutos em câmaras com temperatura e umidade relativa do ar adequadas. Além disso, para cultivares suscetíveis à escaldadura, como a `Granny Smith`, recomenda-se a aplicação de 1,0 µL L-1 de etileno, por 1 hora, ou de 300 g ha-1 a 400 g ha-1 de raxilina, por pulverização, no pré-colheita. Para cultivares suscetíveis ao bitter pit, recomenda-se a aplicação de cálcio, via foliar, e a realização do plantio em solos profundos com elevada capacidade de retenção de umidade."
15,Quais inseticidas matam adultos da mariposa-oriental?,Acetamiprido; clorantraniliprole; clorpirifós; etofenproxi; fosmete; indoxacarbe; monocrotofós; triflumurom; produtos à base de vírus da granulose e lambda-cialotrina são inseticidas que têm ação sobre os adultos da mariposa-oriental.,"Inseticidas à base de diflubenzuron, clorantraniliprol, craveiro, tetrachlorvinphos, fenitrotion, metidation e tiofanato metílico matam adultos da mariposa-oriental."
16,Quais inseticidas não matam abelhas nos pomares?,"Inseticidas à base de B.t. (Bacillus thuringiensis), metoxifenozide e spinosad apresentam baixa toxicidade para abelhas.","Os inseticidas da classe dos neonicotinoides são altamente tóxicos às abelhas e, em consequência, a outros insetos benéficos."
17,Usando confusão sexual tenho que aplicar inseticidas?,"Na maioria dos casos sim. Juntamente com a técnica de confusão sexual devem ser feitos tratamentos com inseticidas para controlar os picos de voos e as posturas das primeiras gerações da mariposa-oriental e da falsa-medideira-verde. Esses tratamentos são importantes porque nem todos os insetos são impactados pelos feromônios assim que são disponibilizados no pomar, especialmente em condições de alta pressão das pragas. Além disso, o uso de inseticidas no início da safra, quando as plantas ainda não têm frutos em formação, possibilita que sejam utilizados produtos com maior impacto ambiental residual.","Embora a confusão sexual seja muito eficiente, em algumas situações ainda são necessárias aplicações de inseticidas, como no caso de ataque muito intenso de tuta absoluta e quando o ataque de codling moth for antes do período de confusão sexual."
18,Quais inseticidas posso utilizar no controle de mosca-das-frutas?,"Diversos inseticidas podem ser utilizados para o controle da mosca-das-frutas na cultura da macieira, entre eles estão: acetamiprid, beta-ciflutrina, deltametrina, dinotefuram, fenpropatrina, fosmete, imidacloprido, lambda-cialotrina, malationa, metidationa, spinosad, tiacloprido, tiametoxam e zeta-cipermetrina. É recomendável alternar produtos com diferentes mecanismos de ação, para evitar o desenvolvimento de resistência aos inseticidas.","O mosquitocida Lean®, com a mistura de tiametoxam e lambdacialotrina, é eficiente na eliminação da mosca-das-frutas. As frutas maduras e colhidas devem ser protegidas com mosquitocidas e repelentes durante todo o período de armazenamento e transporte; eles devem ser aplicados diretamente no pomar em plantação vazia e exclusivamente na linha de cultivo."
19,Quais inseticidas tem ação de profundidade sobre a mosca-das-frutas?,"Atualmente, o único princípio ativo que apresenta ação de profundidade (penetra na casca) sobre os frutos para o controle de oviposições da mosca-dasfrutas é o phosmet, pertencente ao grupo químico dos fosforados.","Os inseticidas com ação de profundidade são os organofosforados e carbamatos. Os piretroides, por apresentarem ação de choque e serem menos persistentes, não são indicados para controle da mosca-das-frutas, especialmente na fase adulta."
20,Quando devo instalar a confusão sexual nos pomares de maçã?,"Quanto antes ela for instalada, melhor. Os tocais (nome comercial de um tipo de atrativo sexual), a calda de feromônio para a raleio sexual (CBL) e/ou os emissores de difusão lenta (Vialoc e Isomate CLS) podem ser colocados com pelo menos 7 dias a 10 dias antes do início da brotação. Quanto à fragrância do raleio, ela deve ser aplicada 7 dias antes de se esperar as primeiras capturas de pupas-em-adultas de Grapholita molesta. Para as últimas gerações de perfeito-maca (Cydia pomonella), apenas os Vialoc e os Isomate CLS são mais indicados, por prevalecer verão e outono. Desta forma, a idade do pomar não interfere na instalação do sistema de confusão sexual.","A confusão sexual deve ser instalada no início da temporada, antes do início da floração, de modo que a concentracão do feromônio deve perdurar durante o período de floração da macieira."
21,Qual o nível de controle quando uso CeraTrap no monitoramento de mosca-das-frutas?,"A base de referência técnica, de tolerância geralmente usada na prática, é de ausência de nenhuma mosca-dasfrutas capturada nas garrafas de CeraTrap, neste caso, associado ao uso de inseticida na cobertura.","O uso de CeraTrap, em comparação com outras Ceras Atrativas, mostrou maior eficiência na captura de ceratites (verdes) do gênero Anastrepha, espécie muito frequente na Região Sul do Brasil e mais difícil de atrair. Porém, CeraTrap ainda é menos eficiente na atração de mosca-das-frutas-do-mediterrâneo (Ceratitis capitata) e da mosca-do-mango (Bactrocera carambolae)."
22,Quando devo iniciar o controle de pulgão lanigero nos pomares de maçã?,"O controle do pulgão lanigero deve ser realizado após atingir o nível de dano. Esse nível de dano é alcançado quando se observa o aparecimento das primeiras colônias acima do enxerto, com presença de resíduos na linha do pescoço da planta e no ponto de injúria do porta-enxerto. Pode-se adotar o termógrafo, que auxilia na previsão do surgimento das principais colônias do pulgão lanigero. Aproximadamente entre 900 °C e 1.000 °C de soma térmica acumulada, após o aparecimento das primeiras colônias, pode-se iniciar o controle dessa praga.","O controle de pulgão lanigero deve ser iniciado com a parcela 3% de gavinhas com insetos vivos e/ou de melatos. Tratamentos preventivos, com inseticidas sistêmicos, devem ser realizados 15 dias antes do voo do primeiro pulgão."
23,Após quantos milímetros de chuva tenho que reaplicar inseticidas?,"A partir de 25 mm de chuva leve, dependendo do produto, considerar a diminuição de 50% no tempo de permanência na planta. Após chuvas acima de 30 mm a 50 mm, deve-se reaplicar produtos de contato como os piretroides.",Em média reaplique se ocorrer mais de 25 mm de chuva ou se a chuva ocorrer logo após a aplicação do inseticida.
24,Inseticidas reguladores de crescimento matam adultos da mariposa-oriental?,"Não, esses produtos têm ação específica sobre os ovos e as formas juvenis (lagartas) da mariposa, não controlando adultos.","Reguladores de crescimento não matam adultos, mas interferem no desenvolvimento dos ovos e das lagartas."
25,Por que estão acabando as abelhas nos pomares?,"Entre as principais causas da mortandade das abelhas destaca-se o uso equivocado de agrotóxicos nas lavouras. Também podem ser citados como fatores a destruição e fragmentação dos habitats naturais em consequência da expansão agrícola e urbana, diminuição da oferta de plantas alimentícias, introdução de novas espécies vegetais exóticas, crescimento populacional de espécies invasoras, surgimento de novas doenças e pragas, mudanças climáticas que influem no ciclo fenológico das plantas, uso de práticas agrícolas inadequadas e poluição ambiental.","A diminuição das abelhas está relacionada ao uso de agrotóxicos, principalmente inseticidas neonicotinóides, que afetam o sistema nervoso das abelhas. A perda de habitat e doenças também impactam as populações."
26,"Com as exigências cada vez maiores do mercado pela segurança alimentar e sustentabilidade ambiental, qual a perspectiva de seguir utilizando agrotóxico em pomares de maçã ou migrar para a produção orgânica?","A produção de maçãs depende do uso de agrotóxicos em função da pressão de pragas e doenças. No Brasil, as principais cultivares são muito susceptíveis à principal doença, a sarna-da-macieira. Desse modo, a produção orgânica não decola enquanto não houver uma cultivar resistente para cada nicho de ambiente de produção. O diferencial esperado é o manejo baseado no conceito de programa de controle de pragas e doenças com calendário fixo dar lugar a programa de controle ajustado climaticamente, usando-se agrotóxicos mais preventivos e menos curativos.","A maçã é uma fruta consignada com agrotóxico na legislação brasileira, ou seja, a cada ano todos os lotes pertencentes a uma variedade de maçã devem ser resfriados e analisados acreditando que receberam agrotóxico, respeitando-se o prazo da última aplicação. O que se constata é que a maioria dos produtores trabalha com um sistema integrado de produção que tenta atenuar o uso de agrotóxico, com controle focado no atacado e não no varejo, e com a qualidade das frutas ser atestada por certificadora. A atual tendência é a de que todos os produtores vão ter que migrar, seja para a produção integrada, seja para a orgânica, para que o produto final possa ser aceito pelo mercado e não haja perda ao produtor por recusa de mercadoria."
27,"Em relação a atividade de fertirrigacao, quais as necessidades da cultura da maçã em relação aos seus estágios fenológicos?",Em qual mês se observa o maior acúmulo de massa fresca dos frutos?,"A fertirrigação deve ser realizada em todos os estágios fenológicos da cultura. Porém, os estágios de maior necessidade devem coincidir com os incrementos de macronutrientes. Sendo assim, os estágios de maior demanda coincidem com a fase de brotação, floração e frutificação; e frutificação e maturação. É importante ressaltar que a aplicação de nutrientes em fertirrigação deve ter sua concentração e volume de acordo com recomendações técnicas, para que não se provoquem desequilíbrios nutricionais na cultura e também fitotoxidez. De maneira geral, as recomendações de cada nutriente devem ser segmentadas, considerando 60% na parte aérea e 40% na parte radicular."
28,Qual sistema de irrigação é mais eficiente para pomares de maçã em regiões com verões secos?,"O gotejamento é o sistema de irrigação localizado mais eficiente para pomares de maçã. Quartas de quartos Ele apresenta a maior eficiência de aplicação, perdendo-se menos água por evaporação. Além disso, permite realizar a fertirrigação com alta precisão.","O sistema de irrigação localizado, que engloba os sistemas de gotejamento e microssprinklers, é o mais eficiente para pomares de maçã em regiões com verões secos."
29,Com que frequência devo fazer a análise de solo e quais indicadores devo priorizar na correção para manter o pomar produtivo?,"Geralmente a cada 2 anos deve-se fazer nova análise de solo e adotar medidas corretivas, caso sejam identificadas necessidades. O pH é o indicativo mais importante; no entanto, não se deve descuidar das necessidades de potássio e fósforo. Maiores detalhes, concentracões e cotação dessas análises podem ser obtidos junto à Embrapa Uva e Vinho. A partir de 2 meses antes da floração, as análises de solo seguiram série de amostras para serem analisadas; atender as chuvas para preferencialmente, deixando o solo úmido. Antes da coleta também. sempre convém que as análises que sejam sempre feitas duas com pH em CaCl2 e conteúdo demais de cálcio e magnésio. Aproximadamente 2 kg de solo e a amostra composta deve ser enviada para laboratórios especialistas em análise de solo.","Ideal é fazer análises de solo a cada 2 anos. Deverá ser priorizada a análise dos seguintes indicadores: pH, matéria orgânica, P, K, Ca, Mg e Al e a capacidade de troca de cátions."
30,"Minha análise de solo mostra um pH baixo e presença de alumínio, Qual a estratégia mais eficaz para corrigir o solo em um pomar já estabelecido (adulto), sem revolver a terra?","Na agricultura não existe pastelaria. Ninguém pode ensinar como fazer um pastel com “meia xícara de farinha de trigo” se não sabe quanta farinha de trigo tem na casa de quem vai fazer o pastel. A correção do solo, como qualquer outra prática, depende de se saber o que ele apresenta em termos de fertilidade. 용역 어감 지우기.","Como o pomar está estabelecido, a única estratégia viável para corrigir o pH e o alumínio do solo, sem revolver a terra e sem impactar as plantas de macieira, é aplicar calcário dolomítico ou calcário magnésico (dependendo da necessidade de magnésio do solo) na superfície do solo, o mais próximo possível da área efetiva das raízes e de forma gradual ao longo do tempo, considerando que a ação deverá ser lenta e gradual para não impactar as plantas."
31,"Como fazer a correção adequada do solo para o plantio de macieiras, considerando análise de solo e as necessidades específicas da cultura?","Com base na análise de solo em laboratório idôneo, normalmente são recomendadas dosagens de calcário para elevação da saturação por bases, redução da acidez e elevação dos teores de cálcio e magnésio até níveis adequados para o cultivo da macieira. Também são realizadas recomendações de adubos para elevação dos teores de fósforo, potássio e micronutrientes que estejam em níveis abaixo dos teores ideais, que são respectivamente: fósforo (> 9,0 mg/dm³), potássio (> 81,0 mg/L), cálcio (> 500,0 mg/L) e magnésio (> 120,0 mg/L).","Para plantios especiais como o de macieiras, recomenda-se adquirir-se o melhor parâmetro, ou seja, a análise de solo para se saber as necessidades reais de correção e adubação da área. Em termos gerais, a cultura da macieira exige solos com pH acima de 5,5 (em CaCl2), com bons teores de matéria orgânica, fósforo, potássio, cálcio e magnésio, mas baixos teores de alumínio e de elementos microminerais como ferro, manganês, zinco, cobre e boro."
32,Qual profissional e órgão define o uso de defensivos agrícolas na cultura da maçã?,"O engenheiro-agrônomo é o profissional habilitado por lei para prescrever o uso de qualquer produto agroquímico, definindo o que poderá e deverá ser utilizado. Porém, para o produto ser autorizado para uso, o Ministério da Agricultura, Pecuária e Abastecimento (Mapa), o Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis (Ibama) e a Agência Nacional de Vigilância Sanitária (Anvisa) promovem processos técnicos específicos. Esses órgãos contam com equipes técnicas multidisciplinares para avaliarem os riscos ao meio ambiente, à saúde dos aplicadores e ao consumidor.","A prescrição do defensivo, a forma de uso, toxicidade, tempo de carência e outras informações são definidas pelo engenheiro agrônomo na Receita Agronômica. A orientação do uso do defensivo e do produto que será utilizado também pode ser feita por técnicos agropecuários. As Receitas Agronômicas Agrícolas podem ser emitidas por técnicos que tenham registro junto ao Ministério da Agricultura e tenham conhecimento técnico sobre o produto ou a praga a ser controlada. Entretanto, a emissão da Receita Agronômica deve ser do profissional responsável pelo estabelecimento agropecuário."
33,Por que não há maior fiscalização sobre venda de mudas de má qualidade?,"A produção de mudas de macieira é uma atividade altamente técnica, sendo difícil a identificação visual de todas as qualidades exigidas pelo decreto, o que demanda uma fiscalização baseada na confiança do produtor, acrescida de inúmeros cuidados na produção tendentes a viabilizar a fé pública exigida pelo decreto como documentos, fotos e testemunhas. Além disso, as equipes do Ministério da Agricultura, Pecuária e Abastecimento estão sempre à disposição para prestar esclarecimentos a todos que porventura se sintam prejudicados.","O Serviço de Vigilância Agropecuária Internacional e Defesa Vegetal (Vigiagro) do Ministério da Agricultura, Pecuária e Abastecimento (Mapa) tem desenvolvido ações, algumas junto a outros órgãos como o Instituto Brasileiro de Meio Ambiente e dos Recursos Naturais Renováveis (Ibama), órgão ambiental encarregado da fiscalização, mas outros problemas envolvem o setor. O sistema brasileiro de certificação de viveiros de fruteiras tem evoluído, mas esse processo envolve os governos estaduais e o setor privado, porque o Mapa não dispõe de recursos para atender às grandes demandas."
34,Por que não tem créditos de subvenção para os fruticultores de macieira?,"Foi uma política adotada pelos governos, não havendo nenhum ato legal que garantisse a continuação da subvenção ao produtor por tempo indeterminado. Referente ao Programa de Garantia de Preços para a Agricultura Familiar de Maçã, que teve uma política de preços de garantia entre 2011 e 2014, não houve continuidade, mesmo havendo solicitação da cadeia produtiva da maçã.","Não há crédito porque atualmente não existe linha de financiamento disponível para aquisição de produtos da pesquisa pública com subvenção de custeio pelo governo federal. O item financiável pode ser adquirido pelo produtor em empresas privadas que detém o produto. Os preços, as condições de pagamento e as garantias de compra são condições de negociação entre empresa e produtor, não cabendo ao governo assumir qualquer garantia de pagamento ou de compra. O governo se responsabiliza pela veracidade das condições ofertadas, para garantir que o produto oferecido/ negociado tenha uma tecnologia genuína, nas condições de qualidade e segurança apropriadas ao modelo licenciado."
35,Qual porta-enxerto é mais produtivo na cultura macieira?,"Os porta-enxertos de baixo vigor geralmente induzem maior produtividade do que os de vigor mediano, os quais são mais produtivos que os portaenxertos vigorosos. Entre os porta-enxertos de baixo vigor, o maior potencial produtivo foi observado nos anões do grupo Malling (M). Assim, nas condições climáticas da região Sul, os produtores podem esperar a seguinte ordem de produtividade entre os principais porta-enxertos: M-9 > M-26 > M-7 > MM-106 > Marubakaido.","Geralmente, os produtores utilizam porta-enxertos anões e semianões, pois esses reduzem o tamanho das plantas, permitindo, assim, o cultivo de pomares com maior densidade - mais plantas por hectare - e, consequentemente, maior produtividade por área."
36,Qual a relação do ângulo de arqueamento com a frutificação?,"Quanto mais horizontal estiver um ramo arqueado no leitor, maior vai ser a indução de frutificação; porém, esse é um efeito de curto prazo. Ramo arqueado a 90° na horizontal não produz mais nada no futuro. Por isso que se utiliza um ângulo de 60° a 70° da posição ereta-no leitor para arqueamento de ramos.","Ramos arqueados tendem a melhorar a frutificação, pois possuem menos dominância apical e, consequentemente, mais ramificação e frutificação."
37,Qual a relação das fases da lua com a incisão?,"Não existe comprovação científica de qualquer relação entre a incisão e a fase da lua. Embora sejam realizados alguns procedimentos com base na cultura popular, os mesmos não apresentam respaldo técnico.","A incisão realizada com a lua em quarto crescente favorece o crescimento das mudas, pois a seiva atua mais na parte aérea; na lua minguante, atua mais na parte radicular - o que favorece as formações em espalier e perfis menos vigorosos; para a lua cheia, recomenda-se quando se quer um aumento homogêneo da planta e com boa cicatrização das incisões; na lua nova, favorece cicatrizes amargas e por isso não é recomendada para injertos. A ação da lua está diretamente relacionada com sua atração oculta sobre a seiva das plantas, a qual teria influência sobre a incidência de luz na face da copa, afetaria a direção do crescimento das plantas (hábito), repouso e acreção das folhas, dinâmica da seiva e a cicatrização das incisões."
38,De que forma o manejo da carga de frutos e da poda influencia o balanço de carboidratos e o tamanho final das maçãs?,"A redução da carga de frutos favorece a definição do tamanho dos frutos restantes, porque reduz a disputa entre eles por carboidratos durante o seu crescimento. Quanto à poda, recomenda-se que ela seja leve, porque a remoção excessiva de ramos reduz superfícies fotossintetizantes, o que pode resultar em menor acúmulo de carboidratos, menor crescimento vegetativo, flores de menor vigor, frutos de menor calibre e menor resistência das plantas a estresses ambientais e ao ataque de pragas.","A relação fonte-dreno é um fator crucial no balanço hormonal e no balanço de carboidratos e influencia diretamente no desenvolvimento e no tamanho final das maçãs. O balanço de hormônios vegetais, entre eles auxinas, citocininas e giberelinas, produzidos principalmente pelas folhas e pelos frutos, atua no balanço de carboidratos e na regulação do crescimento dos frutos, influenciando seu tamanho final. Em espécies frutíferas de caroço, como pêssego e nectarina, têm-se evidenciado que a produção de giberelinas nos frutos é determinante para o crescimento e o tamanho final dos frutos. No caso da macieira, cujo crescimento é, em grande parte, determinado pelo número e tamanho das células, cogita-se que as giberelinas atuariam mais intensamente no impulso inicial do crescimento, enquanto que, durante a fase de enchimento, o crescimento estaria diretamente relacionado à disponibilidade de carboidratos. Contudo, mesmo em pequenas proporções, as giberelinas provenientes dos frutos podem atuar no equilíbrio entre frutificação e desenvolvimento vegetativo, e, por consequência, influenciar no balanço de carboidratos e, consequentemente, no tamanho final dos frutos. Em situações de alta frutificação, com mais frutos do que a capacidadede,ébomde lembrarse de que o aumento da produção resultará em diminuição da proporção de fotossíntatos necessários para encher cada fruto, acarretando, portanto, redução no tamanho final. Assim sendo, mesmo em anos de boas condições de floração e frutificação, é importante que se pratique o raleio, afim de não comprometer a eficiência fotossintética para a produção de frutos de tamanho comercialmente desejado."
39,Quais práticas de manejo são cruciais para evitar a alternância de produção?,"O raleio precoce e eficiente (5 semanas após plena floração), a adubação e a irrigação equilibradas, e o uso de promotores de floração são práticas de manejo cruciais para evitar a alternância de produção na macieira.","Plantas que apresentam condições para alto potencial de floração, pelo acúmulo de reservas e adequada resposta às exigências de frio, podem evitar a flutuação de produção de frutos. O manejo da carga de frutos é uma prática importante: não se deve deixar que a planta carregue uma safra alta, sem realizar o desbaste; e, na safra baixa, deve-se evitar a carga de frutos, permitindo o acúmulo de reservas. O uso de hormonios para indução de flor também pode ser utilizado nas safras baixas, para compesação da flutuação de produção."
